Exported SMaRT Impedance Data
Experiment start time : 27-12-2025 09:31:51

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Admittance Magnitude (S),Capacitance Magnitude (F)
1,1,1,00:00:03,32000000,0.01,0,-,-,-,1426.192,99.72853,7.01168E-04,3.487324E-12,
2,1,2,00:00:05,25418500,0.01,0,-,-,-,164.1598,95.13641,6.091627E-03,3.814201E-11,
3,1,3,00:00:07,20190630,0.01,0,-,-,-,99.30157,-23.60671,1.007033E-02,7.938056E-11,
4,1,4,00:00:09,16037990,0.01,0,-,-,-,202.5087,-32.78078,4.938061E-03,4.900346E-11,
5,1,5,00:00:11,12739430,0.01,0,-,-,-,261.5516,-29.756,3.823338E-03,4.776534E-11,
6,1,6,00:00:13,10119290,0.01,0,-,-,-,299.6977,-25.61603,3.336696E-03,5.247915E-11,
7,1,7,00:00:15,8038037,0.01,0,-,-,-,326.5328,-21.71822,3.06248E-03,6.06378E-11,
8,1,8,00:00:20,6384840,0.01,0,-,-,-,344.9577,-18.18844,2.898906E-03,7.226107E-11,
9,1,9,00:00:22,5071658,0.01,0,-,-,-,357.8044,-15.19314,2.794823E-03,8.770505E-11,
10,1,10,00:00:24,4028562,0.01,0,-,-,-,367.2437,-12.73342,2.722987E-03,1.075761E-10,
11,1,11,00:00:26,3200000,0.01,0,-,-,-,373.8766,-10.73214,2.67468E-03,1.330277E-10,
12,1,12,00:00:28,2541850,0.01,0,-,-,-,379.2658,-9.041077,2.636673E-03,1.650922E-10,
13,1,13,00:00:30,2019064,0.01,0,-,-,-,382.2413,-7.789821,2.616148E-03,2.062208E-10,
14,1,14,00:00:32,1603799,0.01,0,-,-,-,386.275,-6.758515,2.588829E-03,2.569057E-10,
15,1,15,00:00:34,1273943,0.01,0,-,-,-,389.5636,-6.071681,2.566975E-03,3.206947E-10,
16,1,16,00:00:36,1011929,0.01,0,-,-,-,391.8258,-5.525564,2.552155E-03,4.013998E-10,
17,1,17,00:00:38,803803.6,0.01,0,-,-,-,394.5978,-5.198231,2.534226E-03,5.017826E-10,
18,1,18,00:00:42,638483.9,0.01,0,-,-,-,398.0539,-5.033607,2.512223E-03,6.262221E-10,
19,1,19,00:00:44,507165.8,0.01,0,-,-,-,401.638,-4.887682,2.489805E-03,7.813319E-10,
20,1,20,00:00:46,402856.1,0.01,0,-,-,-,405.9337,-4.719044,2.463457E-03,9.732294E-10,
21,1,21,00:00:48,320000,0.01,0,-,-,-,410.4948,-4.633193,2.436085E-03,1.211609E-09,
22,1,22,00:00:50,254185,0.01,0,-,-,-,414.6087,-4.569108,2.411912E-03,1.510191E-09,
23,1,23,00:00:52,201906.3,0.01,0,-,-,-,419.2438,-4.450784,2.385247E-03,1.880199E-09,
24,1,24,00:00:54,160379.9,0.01,0,-,-,-,423.8464,-4.34552,2.359346E-03,2.341325E-09,
25,1,25,00:00:56,127394.3,0.01,0,-,-,-,427.7987,-4.215581,2.337548E-03,2.920322E-09,
26,1,26,00:00:58,101192.9,0.01,0,-,-,-,431.9967,-4.142237,2.314832E-03,3.64074E-09,
27,1,27,00:01:01,80380.37,0.01,0,-,-,-,436.2714,-4.122219,2.292151E-03,4.538512E-09,
28,1,28,00:01:05,63848.39,0.01,0,-,-,-,440.9467,-4.042028,2.267848E-03,5.653068E-09,
29,1,29,00:01:07,50716.58,0.01,0,-,-,-,445.4056,-4.064008,2.245145E-03,7.045545E-09,
30,1,30,00:01:09,50000,0.01,0,-,-,-,445.6861,-4.080208,2.243732E-03,7.142022E-09,
31,2,1,00:01:11,50000,0.01,0,-,-,-,446.9923,-4.069747,2.237175E-03,7.121151E-09,
32,2,2,00:01:14,39716.41,0.01,0,-,-,-,452.0909,-4.080601,2.211945E-03,8.863893E-09,
33,2,3,00:01:16,31547.87,0.01,0,-,-,-,457.6554,-4.095526,2.18505E-03,1.10233E-08,
34,2,4,00:01:18,25059.36,0.01,0,-,-,-,463.3597,-3.997892,2.15815E-03,1.370667E-08,
35,2,5,00:01:20,19905.36,0.01,0,-,-,-,469.0505,-3.847455,2.131967E-03,1.704632E-08,
36,2,6,00:01:22,15811.39,0.01,0,-,-,-,474.5452,-3.629582,2.107281E-03,2.121156E-08,
37,2,7,00:01:24,12559.43,0.01,0,-,-,-,479.4347,-3.359853,2.08579E-03,2.643144E-08,
38,2,8,00:01:26,9976.312,0.01,0,-,-,-,483.8922,-3.016014,2.066576E-03,3.296869E-08,
39,2,9,00:01:28,7924.466,0.01,0,-,-,-,487.5497,-2.684941,2.051073E-03,4.119375E-08,
40,2,10,00:01:30,6294.627,0.01,0,-,-,-,490.5384,-2.354884,2.038576E-03,5.154389E-08,
41,2,11,00:01:32,5000,0.01,0,-,-,-,492.9812,-2.039413,2.028475E-03,6.456837E-08,
42,2,12,00:01:34,3971.641,0.01,0,-,-,-,494.8992,-1.772369,2.020614E-03,8.097173E-08,
43,2,13,00:01:37,3154.787,0.01,0,-,-,-,496.3779,-1.528789,2.014594E-03,1.016337E-07,
44,2,14,00:01:39,2505.936,0.01,0,-,-,-,497.6317,-1.321407,2.009518E-03,1.276269E-07,
45,2,15,00:01:41,1990.536,0.01,0,-,-,-,498.546,-1.151809,2.005833E-03,1.603781E-07,
46,2,16,00:01:43,1581.139,0.01,0,-,-,-,499.3837,-1.009502,2.002468E-03,2.015653E-07,
47,2,17,00:01:45,1255.943,0.01,0,-,-,-,500.097,-0.8963783,1.999612E-03,2.533938E-07,
48,2,18,00:01:47,997.6311,0.01,0,-,-,-,500.7727,-0.8050229,1.996914E-03,3.185734E-07,
49,2,19,00:01:49,792.4466,0.01,0,-,-,-,501.3076,-0.7360102,1.994783E-03,4.006322E-07,
50,2,20,00:01:51,629.4627,0.01,0,-,-,-,501.8765,-0.6954633,1.992522E-03,5.037944E-07,
51,2,21,00:01:53,500,0.01,0,-,-,-,502.4238,-0.6547496,1.990352E-03,6.335487E-07,
52,2,22,00:01:56,397.1641,0.01,0,-,-,-,502.9843,-0.6296511,1.988134E-03,7.967017E-07,
53,2,23,00:01:58,315.4787,0.01,0,-,-,-,503.6037,-0.6238423,1.985688E-03,1.001754E-06,
54,2,24,00:02:01,250.5936,0.01,0,-,-,-,504.1797,-0.6318957,1.98342E-03,1.259693E-06,
55,2,25,00:02:03,199.0536,0.01,0,-,-,-,504.8246,-0.6350308,1.980886E-03,1.583834E-06,
56,2,26,00:02:05,158.1139,0.01,0,-,-,-,505.4545,-0.6482252,1.978418E-03,1.991444E-06,
57,2,27,00:02:08,125.5943,0.01,0,-,-,-,506.1213,-0.6669711,1.975811E-03,2.503777E-06,
58,2,28,00:02:10,99.76311,0.01,0,-,-,-,506.9224,-0.6903006,1.972689E-03,3.147087E-06,
59,2,29,00:02:12,79.24466,0.01,0,-,-,-,507.6027,-0.7294144,1.970045E-03,3.956638E-06,
60,2,30,00:02:14,62.94627,0.01,0,-,-,-,508.4645,-0.770101,1.966706E-03,4.97267E-06,
61,2,31,00:02:16,50,0.01,0,-,-,-,509.2071,-0.8332686,1.963838E-03,6.251091E-06,
62,2,32,00:02:18,39.71641,0.01,0,-,-,-,510.2594,-0.8707813,1.959787E-03,7.853427E-06,
63,2,33,00:02:20,31.54787,0.01,0,-,-,-,511.2399,-0.9327179,1.956029E-03,9.867916E-06,
64,2,34,00:02:22,25.05936,0.01,0,-,-,-,512.3589,-0.996438,1.951757E-03,1.239584E-05,
65,2,35,00:02:24,19.90536,0.01,0,-,-,-,513.5302,-1.075645,1.947306E-03,1.556984E-05,
66,2,36,00:02:26,15.81139,0.01,0,-,-,-,514.7665,-1.160453,1.942629E-03,1.955419E-05,
67,2,37,00:02:28,12.55943,0.01,0,-,-,-,516.145,-1.253546,1.93744E-03,2.455153E-05,
68,2,38,00:02:31,9.976311,0.01,0,-,-,-,517.6669,-1.354524,1.931744E-03,3.081767E-05,
69,2,39,00:02:33,7.924466,0.01,0,-,-,-,519.3721,-1.465554,1.925402E-03,3.866977E-05,
70,2,40,00:02:36,6.294627,0.01,0,-,-,-,521.2271,-1.582518,1.918549E-03,4.85091E-05,
71,2,41,00:02:38,5,0.01,0,-,-,-,523.2206,-1.713483,1.91124E-03,6.083666E-05,
72,2,42,00:02:40,3.971641,0.01,0,-,-,-,525.5486,-1.848345,1.902774E-03,7.624956E-05,
73,2,43,00:02:43,3.154787,0.01,0,-,-,-,527.8667,-1.983866,1.894418E-03,9.557096E-05,
74,2,44,00:02:46,2.505936,0.01,0,-,-,-,530.5474,-2.119685,1.884846E-03,1.197088E-04,
75,2,45,00:02:48,1.990536,0.01,0,-,-,-,533.5111,-2.253959,1.874375E-03,1.498673E-04,
76,2,46,00:02:51,1.581139,0.01,0,-,-,-,536.6852,-2.409315,1.86329E-03,1.875558E-04,
77,2,47,00:02:54,1.255943,0.01,0,-,-,-,540.2111,-2.5175,1.851128E-03,2.345777E-04,
78,2,48,00:02:56,0.9976312,0.01,0,-,-,-,543.6754,-2.609957,1.839333E-03,2.93434E-04,
79,2,49,00:02:58,0.7924466,0.01,0,-,-,-,547.728,-2.683156,1.825724E-03,3.666784E-04,
80,2,50,00:03:02,0.6294627,0.01,0,-,-,-,551.2249,-2.780008,1.814142E-03,4.586923E-04,
81,2,51,00:03:05,0.5,0.01,0,-,-,-,555.8008,-2.854683,1.799206E-03,5.727051E-04,
82,2,52,00:03:09,0.3971641,0.01,0,-,-,-,559.6359,-2.92406,1.786876E-03,7.160521E-04,
83,2,53,00:03:13,0.3154787,0.01,0,-,-,-,563.9873,-2.939604,1.77309E-03,8.94501E-04,
84,2,54,00:03:19,0.2505936,0.01,0,-,-,-,568.1899,-3.018554,1.759975E-03,1.117781E-03,
85,2,55,00:03:25,0.1990536,0.01,0,-,-,-,572.1223,-2.955309,1.747878E-03,1.397531E-03,
86,2,56,00:03:33,0.1581139,0.01,0,-,-,-,576.5861,-3.038049,1.734347E-03,1.745766E-03,
87,2,57,00:03:50,0.1255943,0.01,0,-,-,-,581.0329,-3.028326,1.721073E-03,2.180969E-03,
88,2,58,00:04:12,0.1,0.01,0,-,-,-,584.594,-3.158603,1.710589E-03,2.722488E-03,
