f	z'	z''
10000000000.0	0.0008483123681489751	-0.574227580531115
8626214554.605001	0.001140026538234383	-0.6656768689716831
7441157754.207917	0.0015320537826224974	-0.7716898222028714
6418902332.246021	0.002058888894313538	-0.8945856509596009
5537082872.300862	0.002766888180735282	-1.0370528298785076
4776406486.309577	0.0037183480034589946	-1.202207856981056
4120230715.0913577	0.004996985542487639	-1.393663344020816
3554199416.2851644	0.006715303743210453	-1.615606908641042
3065928673.472769	0.009024487949352272	-1.8728925651476616
2644735854.6491604	0.012127704045346287	-2.17114656784817
2281405892.246029	0.016297966427362837	-2.516889951710547
1967989671.2654305	0.021902144767234146	-2.917680340855919
1697630114.558217	0.029433216054478017	-3.38227595535712
1464412160.253785	0.039553589145022265	-3.9208251365808673
1263233349.0721753	0.05315329471404452	-4.545085120331927
1089692190.1628819	0.0714281259778741	-5.268674194624367
939991863.0822492	0.09598454295457523	-6.10736174786903
810857149.053037	0.12898045729541982	-7.0794009802236735
699462774.0866826	0.17331408043576654	-8.205909110893405
603371596.2230932	0.2328770820373339	-9.511299597335407
520481284.5174899	0.3128936672050652	-11.023769917484922
448978323.19042784	0.4203742058192108	-12.775846426077887
387298334.6207417	0.5647211640759355	-14.804984015045743
334091853.1079721	0.7585367600161065	-17.15421175904852
288194800.5854945	1.018696413702602	-19.872804845784266
248603018.33720788	1.3677699042882225	-23.016945526041763
214450297.5099157	1.835892856600428	-26.65030810425019
184989427.76194152	2.463213268417846	-30.844460146329617
159575849.42081106	3.3030574715155683	-35.678907222672144
137653551.48372567	4.425969182116117	-41.24051267808221
118742906.93019833	5.924758759114871	-47.6218867068785
102430179.2017384	7.920629977988412	-54.918150999286105
88358470.26608343	10.570282712592656	-63.22124451051024
76219912.22319223	14.07355141723398	-72.61066221996896
65748931.61704165	18.680535049947668	-83.13928027097495
56716439.086465366	24.69619946656525	-94.81287797117977
48924817.23330366	32.47903655424082	-107.56242854042544
42203597.04993136	42.4286898847252	-121.20968953244342
36405728.31288026	54.956097485348955	-135.4296818272436
31404362.34435638	70.42999680576202	-149.71864828523624
27090076.753297627	89.09769996049508	-163.38228951481952
23368481.43746626	110.98787697486439	-175.563521990383
20158153.46948883	135.818122570942	-185.32615666101836
17388855.685246587	162.9440420488746	-191.79520163609115
15000000.000000004	191.38737945509774	-194.32684699946165
12739430.0	227.06519662143756	-190.80731437530574
10119290.0	270.24089371266376	-178.02261176245406
8038037.0	303.35385138364325	-159.31762051167334
6384840.0	327.7219053883758	-138.2472932016662
5071658.0	345.29837744474304	-118.05456639669072
4028562.0	358.2117613698642	-100.23513535994057
3200000.0	367.3369346409469	-84.94430318823795
2541850.0	374.553776815958	-71.76934843854576
2019064.0	378.7139526926881	-61.47624134296756
1603799.0	383.59076660158297	-53.13787191739232
1273943.0	387.3782824998078	-47.3048852092728
1011929.0	390.00511685475425	-42.574042776967715
803803.6	392.97489675188496	-39.59995366620375
638483.9	396.51876743181606	-37.98237572602221
507165.8	400.17749840526665	-36.648995583972535
402856.1	404.55762413386446	-35.32497511977079
320000.0	409.1534055253774	-34.69046383837198
254185.0	413.29106285209826	-34.2453998386783
201906.3	417.97951197470877	-33.50120693383135
160379.9	422.6279476403096	-32.88315100074366
127394.3	426.64130087204785	-32.05720056160674
101192.9	430.86824072998354	-31.68881257889103
80380.37	435.14275786135846	-31.745905589815653
63848.39	439.8498951900552	-31.387247721410652
50716.58	444.285627313617	-31.809112143453476
50000.0	444.55647345074874	-31.95125702989123
50000.0	445.86516223644526	-31.962791894350428
39716.41	450.9448193276999	-32.360831571784715
31547.87	456.486714164846	-32.83659983921564
25059.36	462.2321679349742	-32.42531856892352
19905.36	467.99337038299853	-31.568738813560817
15811.39	473.59334606504046	-30.117167530744457
12559.43	478.6106182396632	-28.158314626002802
9976.312	483.22194543157923	-25.507788400586325
7924.466	487.0144783768765	-22.87667802726915
6294.627	490.1241374723182	-20.18582670458189
5000.0	492.6689376596892	-17.567640619870023
3971.641	494.6624362823901	-15.325625921096332
3154.787	496.20121222214493	-13.258088309196348
2505.936	497.49936133980657	-11.487812795579986
1990.536	498.44526595228496	-10.03105595201536
1581.139	499.306189197261	-8.805823559750745
1255.943	500.03579980591724	-7.82958826984509
997.6311	500.723271809793	-7.040551981325602
792.4466	501.2662390293383	-6.443315014828977
629.4627	501.8395287016863	-6.09470372127977
500.0	502.39099495024254	-5.743735285960003
397.1641	502.95392790631	-5.529328728677435
315.4787	503.57384899210723	-5.484690722016808
250.5936	504.1490382814318	-5.56151388001473
199.0536	504.79359366870017	-5.596000553762798
158.1139	505.42215151132314	-5.719177464666444
125.5943	506.0870083420859	-5.892146232451724
99.76311	506.88560934919803	-6.107740271930327
79.24466	507.5615668979366	-6.462333885959688
62.94627	508.41857235121324	-6.834264268299427
50.0	509.15325051321355	-7.405520103157602
39.71641	510.20047147344786	-7.754814374614105
31.54787	511.17216072988987	-8.322256961588275
